sport,medal_events,notes
3x3 Basketball,4,includes 4 wheelchair events
Artistic Gymnastics,14,
Athletics,59,43 standard + 16 para-athletics
Bowls,7,4 standard + 3 para bowls
Boxing,14,
Cycling (Track),26,18 track + 8 para track cycling
Judo,14,
Netball,1,
Swimming,56,42 standard + 14 para swimming
Weightlifting,20,16 standard + 4 para powerlifting
