sport,country,gold,silver,bronze,total
Swimming,United States,9,11,9,29
Swimming,Australia,8,6,6,20
Swimming,France,4,1,3,8
Swimming,Canada,4,0,4,8
Swimming,Neutral Athletes B,3,4,1,8
Swimming,China,2,6,6,14
Swimming,Germany,2,2,1,5
Swimming,Romania,2,0,0,2
Swimming,Tunisia,2,0,0,2
Swimming,Italy,1,4,2,7
Swimming,South Africa,1,2,1,4
Swimming,Netherlands,1,0,2,3
Swimming,Hungary,1,0,1,2
Swimming,Lithuania,1,0,0,1
Swimming,England,0.25,1,0,1.25
Swimming,Scotland,0.25,0,0,0.25
Swimming,Wales,0.25,0,0,0.25
Swimming,Northern Ireland,0.25,0,0,0.25
Swimming,Japan,0,3,1,4
Swimming,Switzerland,0,2,0,2
Swimming,Belgium,0,1,1,2
Swimming,Poland,0,1,0,1
Swimming,Kyrgyzstan,0,0,1,1
Swimming,Neutral Athletes A,0,0,1,1
Swimming,South Korea,0,0,1,1
