sport,country,gold,silver,bronze,total
Swimming,United States,11,10,9,30
Swimming,Australia,9,3,8,20
Swimming,England,3.25,0.75,1,5
Swimming,China,3,2,1,6
Swimming,ROC,2,2,1,5
Swimming,Japan,2,1,0,3
Swimming,Canada,1,3,2,6
Swimming,Hungary,1,1,0,2
Swimming,South Africa,1,1,0,2
Swimming,Tunisia,1,0,0,1
Swimming,Scotland,0.5,2.25,0,2.75
Swimming,Wales,0.25,0,0,0.25
Swimming,Italy,0,2,4,6
Swimming,Hong Kong,0,2,0,2
Swimming,Netherlands,0,2,0,2
Swimming,Ukraine,0,1,1,2
Swimming,France,0,1,0,1
Swimming,Sweden,0,1,0,1
Swimming,Brazil,0,0,2,2
Swimming,Germany,0,0,2,2
Swimming,Switzerland,0,0,2,2
Swimming,Denmark,0,0,1,1
Swimming,Finland,0,0,1,1
